,Date,Home,Away Teams,Crowd,ResultH,ResultA,Goals
1,Thu 16 Mar 7:20 PM,Richmond,Carlton,88084,58,58,"T. Lynch 3
C. Curnow 3"
1,Fri 17 Mar 7:40 PM,Geelong,Collingwood,86595,103,125,"J. De Goey 3
B. Hill 3"
1,Sat 18 Mar 1:45 PM,North Melbourne,West Coast,21274,87,82,N. Larkey 6
1,Sat 18 Mar 4:05 PM,Port Adelaide,Brisbane,34255,126,72,T. Marshall 4
1,Sat 18 Mar 7:00 PM,Gold Coast,Sydney,13648,61,110,-
1,Sat 18 Mar 7:25 PM,Melbourne,Western Bulldogs,48103,115,65,"B. Brown 4
K. Pickett 4"
1,Sun 19 Mar 1:10 PM,GWS,Adelaide,8169,106,90,T. Greene 4
1,Sun 19 Mar 3:20 PM,Hawthorn,Essendon,68691,65,124,"L. Breust 3
A. Perkins 3"
1,Sun 19 Mar 4:40 PM,St Kilda,Fremantle,23429,67,52,-
2,Thu 23 Mar 7:20 PM,Carlton,Geelong,55861,90,82,J. Cameron 6
2,Fri 24 Mar 6:55 PM,Brisbane,Melbourne,30047,93,82,"J. Daniher 4
B. Brown 4"
2,Sat 25 Mar 1:45 PM,Collingwood,Port Adelaide,60744,135,64,"C. Dixon 3
B. Mihocek 3"
2,Sat 25 Mar 4:05 PM,Adelaide,Richmond,38492,76,108,"T. Lynch 3
S. Ryan 3
D. Fogarty 3"
2,Sat 25 Mar 4:30 PM,Fremantle,North Melbourne,40487,72,73,N. Larkey 4
2,Sat 25 Mar 7:25 PM,Western Bulldogs,St Kilda,33294,41,92,"M. Owens 3
M. Phillipou 3"
2,Sun 26 Mar 1:10 PM,Sydney,Hawthorn,37052,118,37,L. McDonald 5
2,Sun 26 Mar 3:20 PM,Essendon,Gold Coast,32915,108,80,K. Langford 5
2,Sun 26 Mar 3:20 PM,West Coast,GWS,44649,100,81,"T. Greene 4
J. Waterman 4"
3,Thu 30 Mar 7:20 PM,Western Bulldogs,Brisbane,,67,53,J. Ugle-Hagan 5
3,Fri 31 Mar 7:50 PM,Collingwood,Richmond,,63,49,"J. Riewoldt 2
J. Elliott 2"
3,Sat 1 Apr 1:45 PM,Hawthorn,North Melbourne,,80,61,T. Brockman 3
3,Sat 1 Apr 4:35 PM,GWS,Carlton,,64,74,-
3,Sat 1 Apr 7:00 PM,Port Adelaide,Adelaide,,86,117,R. Thilthorpe 5
3,Sat 1 Apr 7:25 PM,St Kilda,Essendon,,92,74,"D. Butler 4
J. Higgins 4"
